Entity,Code,Year,Primary Energy Consumption
Africa,,1965,2.51124132021312
Africa,,1966,2.6409052755376603
Africa,,1967,2.66271941415456
Africa,,1968,2.80872874296737
Africa,,1969,2.8766240865489197
Africa,,1970,3.13716617262518
Africa,,1971,3.4098228571952998
Africa,,1972,3.61577190118577
Africa,,1973,3.91480815736085
Africa,,1974,4.10311800845371
Africa,,1975,4.34301437318212
Africa,,1976,4.75517917349355
Africa,,1977,5.0009098688492
Africa,,1978,5.1930403460241905
Africa,,1979,5.6932581885000095
Africa,,1980,6.11323382323824
Africa,,1981,6.80651107441183
Africa,,1982,7.26683956416749
Africa,,1983,7.46277674950031
Africa,,1984,7.706067223067981
Africa,,1985,8.00500048171481
Africa,,1986,8.196577302427809
Africa,,1987,8.44854820490084
Africa,,1988,9.060287489464882
Africa,,1989,9.08821289062668
Africa,,1990,9.386858861119439
Africa,,1991,9.378720825806019
Africa,,1992,9.53755315069856
Africa,,1993,9.572763237852529
Africa,,1994,9.854857249956789
Africa,,1995,10.253910268797599
Africa,,1996,10.528321697358
Africa,,1997,10.730855734344699
Africa,,1998,10.897841417053302
Africa,,1999,11.228628916981302
Africa,,2000,11.493800493206
Africa,,2001,11.943381961257401
Africa,,2002,12.076042419844901
Africa,,2003,12.6491497290996
Africa,,2004,13.554296784479
Africa,,2005,13.6474788972459
Africa,,2006,13.8899074821716
Africa,,2007,14.3827719352436
Africa,,2008,15.298411102079198
Africa,,2009,15.5694639517447
Africa,,2010,16.0745088208866
Africa,,2011,16.1301133307091
Africa,,2012,16.6934608520876
Africa,,2013,17.138175289927002
Africa,,2014,17.6557164784175
Africa,,2015,17.9086211207967
Africa,,2016,18.3781707752618
Africa,,2017,18.7928462788578
Africa,,2018,19.3935527186977
Africa,,2019,19.870860305921102
Algeria,DZA,1965,0.08913946699999999
Algeria,DZA,1966,0.10716806300000001
Algeria,DZA,1967,0.10142614800000001
Algeria,DZA,1968,0.108878725
Algeria,DZA,1969,0.120508183
Algeria,DZA,1970,0.131957845
Algeria,DZA,1971,0.142825345
Algeria,DZA,1972,0.160412901
Algeria,DZA,1973,0.19121728100000002
Algeria,DZA,1974,0.21175151899999997
Algeria,DZA,1975,0.253119235
Algeria,DZA,1976,0.295316633
Algeria,DZA,1977,0.324591825
Algeria,DZA,1978,0.407940009
Algeria,DZA,1979,0.534557018
Algeria,DZA,1980,0.6375488
Algeria,DZA,1981,0.7744341220000001
Algeria,DZA,1982,0.8928945840000001
Algeria,DZA,1983,0.9753283759999999
Algeria,DZA,1984,0.936414691
Algeria,DZA,1985,0.9438509070000001
Algeria,DZA,1986,0.998804695
Algeria,DZA,1987,1.02628323
Algeria,DZA,1988,1.099400515
Algeria,DZA,1989,1.069299968
Algeria,DZA,1990,1.1338183290000001
Algeria,DZA,1991,1.12335327
Algeria,DZA,1992,1.152688404
Algeria,DZA,1993,1.0725542
Algeria,DZA,1994,1.086808885
Algeria,DZA,1995,1.127196878
Algeria,DZA,1996,1.115641943
Algeria,DZA,1997,1.072246726
Algeria,DZA,1998,1.109917657
Algeria,DZA,1999,1.121032061
Algeria,DZA,2000,1.0797694820000001
Algeria,DZA,2001,1.11888245148052
Algeria,DZA,2002,1.15898560216129
Algeria,DZA,2003,1.21275194646154
Algeria,DZA,2004,1.2590422789554099
Algeria,DZA,2005,1.3182305997919
Algeria,DZA,2006,1.3650570574924499
Algeria,DZA,2007,1.4385637206179398
Algeria,DZA,2008,1.52463143190499
Algeria,DZA,2009,1.615685244
Algeria,DZA,2010,1.5746443402085901
Algeria,DZA,2011,1.67191939909451
Algeria,DZA,2012,1.8273700061270202
Algeria,DZA,2013,1.9330406522891599
Algeria,DZA,2014,2.10805768786826
Algeria,DZA,2015,2.22293476951428
Algeria,DZA,2016,2.22054663825642
Algeria,DZA,2017,2.2446413119
Algeria,DZA,2018,2.41945421534737
Algeria,DZA,2019,2.53814313636739
Argentina,ARG,1965,1.12763203479627
Argentina,ARG,1966,1.16510775313891
Argentina,ARG,1967,1.1997253040073401
Argentina,ARG,1968,1.24123391518217
Argentina,ARG,1969,1.28391239614581
Argentina,ARG,1970,1.21276225150308
Argentina,ARG,1971,1.28837818344018
Argentina,ARG,1972,1.31144222915506
Argentina,ARG,1973,1.36791035246804
Argentina,ARG,1974,1.42753612641877
Argentina,ARG,1975,1.39164357146354
Argentina,ARG,1976,1.46745876566935
Argentina,ARG,1977,1.5330676861702401
Argentina,ARG,1978,1.5640078859152902
Argentina,ARG,1979,1.6587508574173897
Argentina,ARG,1980,1.65721831033389
Argentina,ARG,1981,1.5976867729447999
Argentina,ARG,1982,1.6360296077938
Argentina,ARG,1983,1.7091846844515801
Argentina,ARG,1984,1.70621337021498
Argentina,ARG,1985,1.66483516288508
Argentina,ARG,1986,1.83762703879711
Argentina,ARG,1987,1.9205662602433602
Argentina,ARG,1988,1.9463091711716598
Argentina,ARG,1989,1.8669389175184599
Argentina,ARG,1990,1.84754373071081
Argentina,ARG,1991,1.8687394569613898
Argentina,ARG,1992,2.01010603609163
Argentina,ARG,1993,2.07492587549453
Argentina,ARG,1994,2.1133577483282098
Argentina,ARG,1995,2.19885225538626
Argentina,ARG,1996,2.3549992682216
Argentina,ARG,1997,2.34198069391904
Argentina,ARG,1998,2.4277725285197596
Argentina,ARG,1999,2.37416047184785
Argentina,ARG,2000,2.470051807403
Argentina,ARG,2001,2.44282483760515
Argentina,ARG,2002,2.3257044846839303
Argentina,ARG,2003,2.49510310217658
Argentina,ARG,2004,2.6281044402404903
Argentina,ARG,2005,2.80279799981193
Argentina,ARG,2006,2.94482843566757
Argentina,ARG,2007,3.07479094612113
Argentina,ARG,2008,3.12715637326333
Argentina,ARG,2009,3.0668040659146696
Argentina,ARG,2010,3.2271374928514303
Argentina,ARG,2011,3.2890758147845
Argentina,ARG,2012,3.3828715295723097
Argentina,ARG,2013,3.5245765435145597
Argentina,ARG,2014,3.50686147673592
Argentina,ARG,2015,3.58580329190273
Argentina,ARG,2016,3.5761952977108997
Argentina,ARG,2017,3.56691987361784
Argentina,ARG,2018,3.54086627938532
